uav,step,service_0,service_1,service_2,service_3,cpu_utilization,uplink_data_rate,downlink_data_rate,battery,step_consumption,ram_usage
uav_0,0,0,0,0,0,0.0,6.1,6.1,46.121080232335494,0.49891976766450613,0.0
uav_0,1,0,0,0,0,0.0,9.8,9.8,45.61622443132578,0.5048558010097116,0.0
uav_0,2,0,0,0,0,0.0,14.65,14.65,45.10358761363384,0.5126368176919402,0.0
uav_0,3,1,0,1,0,89.93333333333334,12.75,21.45,44.559890290324226,0.5436973233096168,2.0
uav_0,4,0,0,1,0,28.333333333333332,21.0,28.5,44.0225024836939,0.5373878066303311,1.0
uav_0,5,0,0,0,0,0.0,32.6,32.6,43.48106788261103,0.5414346010828692,0.0
uav_0,6,0,0,0,0,0.0,37.7,37.7,42.9314511815118,0.5496167010992334,0.0
uav_0,7,0,0,0,0,0.0,42.35,42.35,42.37437433039764,0.5570768511141537,0.0
uav_0,8,0,0,0,1,80.0,26.85,46.85,41.80198797925287,0.5723863511447728,1.0
uav_1,0,0,0,0,0,0.0,6.35,6.35,46.120679149001354,0.49932085099864165,0.0
uav_1,1,0,0,0,1,74.66666666666667,7.949999999999999,11.95,45.59305825350167,0.5276208954996863,1.0
uav_1,2,0,0,0,0,0.0,17.95,17.95,45.075127135799136,0.5179311177025289,0.0
uav_1,3,0,0,0,0,0.0,21.8,21.8,44.55101933475092,0.5241078010482156,0.0
uav_1,4,0,0,0,0,0.0,27.05,27.05,44.01848878368586,0.5325305510650611,0.0
uav_1,5,0,0,0,1,77.33333333333334,19.15,31.15,43.465677577024685,0.5528112066611779,1.0
uav_1,6,0,0,0,1,77.83333333333333,20.75,34.25,42.908945353689,0.5567322233356867,1.0
uav_1,7,0,0,0,1,78.66666666666667,24.799999999999997,40.8,42.343458774780245,0.5654865789087509,1.0
uav_1,8,0,0,0,0,0.0,47.8,47.8,41.777638306981935,0.5658204677983075,0.0
uav_2,0,0,0,0,0,0.0,6.1,6.1,46.121080232335494,0.49891976766450613,0.0
uav_2,1,0,0,1,0,26.866666666666667,10.15,11.05,45.60683618686256,0.5142440454729325,1.0
uav_2,2,0,0,0,0,0.0,16.8,16.8,45.09075005249705,0.5160861343655055,0.0
uav_2,3,1,0,0,0,62.66666666666667,18.4,22.4,44.54998387363774,0.5407661788593102,1.0
uav_2,4,0,0,0,0,0.0,28.4,28.4,44.01528747256835,0.5346964010693928,0.0
uav_2,5,0,0,1,0,28.133333333333333,25.9,32.5,43.470820715923864,0.5444667566444891,1.0
uav_2,6,0,0,1,0,28.333333333333332,32.15,39.65,42.91554459259109,0.5552761233327744,1.0
uav_2,7,0,0,1,0,28.666666666666668,35.9,44.9,42.35294841368812,0.5625961789029701,1.0
uav_2,8,0,0,0,0,0.0,51.05,51.05,41.78191386254605,0.5710345511420691,0.0
uav_3,0,0,0,0,0,0.0,6.9,6.9,46.11979676566626,0.5002032343337398,0.0
uav_3,1,0,0,0,1,74.50000000000001,7.949999999999999,11.45,45.592627231278584,0.5271695343876723,1.0
uav_3,2,0,0,0,0,0.0,15.45,15.45,45.07870694691741,0.513920284361174,0.0
uav_3,3,0,0,0,0,0.0,20.3,20.3,44.55700564587401,0.5217013010434026,0.0
uav_3,4,0,0,0,0,0.0,25.5,25.5,44.02696181148059,0.530043834393421,0.0
uav_3,5,0,0,0,1,76.83333333333333,20.1,30.6,43.47398057148574,0.5529812399948514,1.0
uav_3,6,0,0,0,1,77.83333333333333,24.799999999999997,38.3,42.91075079813706,0.5632297733486819,1.0
uav_3,7,0,0,0,1,78.83333333333333,28.049999999999997,44.55,42.33959877477253,0.5711520233645262,1.0
uav_3,8,0,0,0,0,0.0,50.900000000000006,50.900000000000006,41.76880487363095,0.5707939011415878,0.0
uav_4,0,0,0,0,0,0.0,5.85,5.85,46.12148131566963,0.49851868433037066,0.0
uav_4,1,1,0,0,0,60.8,9.2,10.4,45.5982841812899,0.5231971343797276,1.0
uav_4,2,0,0,0,0,0.0,16.4,16.4,45.08283978025901,0.5154444010308887,0.0
uav_4,3,0,0,0,0,0.0,22.2,22.2,44.55809024587617,0.5247495343828323,0.0
uav_4,4,0,0,0,0,0.0,26.15,26.15,44.027003594814,0.5310866510621732,0.0
uav_4,5,1,0,0,0,62.66666666666667,28.25,32.25,43.47043473258975,0.556568862224249,1.0
uav_4,6,1,0,0,0,63.33333333333333,31.25,36.25,42.90804959257609,0.5623851400136591,1.0
uav_4,7,1,0,0,0,63.733333333333334,34.449999999999996,40.05,42.33992861921763,0.5681209733584642,1.0
uav_4,8,0,0,0,0,0.0,46.55,46.55,41.77611356809,0.5638150511276301,0.0
uav_5,0,0,0,0,0,0.0,7.35,7.35,46.11907481566482,0.5009251843351836,0.0
uav_5,1,0,0,0,0,0.0,13.4,13.4,45.60844341464355,0.5106314010212628,0.0
uav_5,2,0,0,0,0,0.0,17.65,17.65,45.090993596941985,0.5174498177015663,0.0
uav_5,3,0,0,0,0,0.0,25.05,25.05,44.56167171255001,0.5293218843919771,0.0
