uav,step,service_0,service_1,service_2,service_3,cpu_utilization,uplink_data_rate,downlink_data_rate,battery,step_consumption,ram_usage
uav_0,0,0,0,0,0,0.0,6.85,6.85,46.11987698233308,0.5001230176669127,0.0
uav_0,1,0,0,0,1,74.66666666666667,8.2,12.2,45.59185500349926,0.5280219788338217,1.0
uav_0,2,0,0,0,0,0.0,21.75,21.75,45.067827419117876,0.5240275843813885,0.0
uav_0,3,0,0,0,0,0.0,30.150000000000002,30.150000000000002,44.53032343470954,0.5375039844083412,0.0
uav_0,4,0,0,0,0,0.0,36.55,36.55,43.98255171694733,0.54777171776221,0.0
uav_0,5,1,0,1,0,94.19999999999999,26.5,46.0,43.40684429912925,0.5757074178180814,2.0
uav_0,6,0,0,0,0,0.0,54.6,54.6,42.830114364642455,0.5767299344867932,0.0
uav_0,7,0,0,0,1,81.66666666666667,36.4,61.4,42.23789301901357,0.5922213456288872,1.0
uav_0,8,0,0,0,1,82.83333333333334,41.7,70.2,41.63400917891691,0.6038838400966564,1.0
uav_0,9,0,0,0,0,0.0,77.85,77.85,41.01997849435552,0.6140306845613946,0.0
uav_0,10,0,1,0,0,49.46666666666666,67.2,84.95,40.3938730569922,0.626105437363322,2.0
uav_0,11,1,0,0,0,68.8,78.55,91.75,39.747376072365874,0.6464969846263271,1.0
uav_0,12,0,1,0,0,52.0,78.5,101.0,39.09856715440159,0.6488089179642844,2.0
uav_0,13,0,1,0,0,52.800000000000004,82.9,106.9,38.4412545864203,0.6573125679812918,2.0
uav_0,14,1,0,0,0,70.93333333333334,98.55,114.95,37.75946044616782,0.6817941402524772,1.0
uav_0,15,0,1,0,0,55.33333333333332,94.4,123.15,37.07912353091826,0.6803369152495626,2.0
uav_0,16,1,0,0,0,72.26666666666667,113.04999999999998,131.45,36.372060001726354,0.7070635291919047,1.0
uav_0,17,1,0,0,0,72.53333333333333,118.50000000000001,137.3,35.65585154473838,0.7162084569879725,1.0
uav_0,18,0,0,0,0,0.0,145.15,145.15,34.933849226627714,0.7220023181106712,0.0
uav_0,19,0,0,0,0,0.0,153.65,153.65,34.19821007515644,0.7356391514712783,0.0
uav_0,20,1,0,0,0,75.2,141.7,164.5,33.440767973641556,0.7574421015148843,1.0
uav_0,21,0,0,0,0,0.0,170.25,170.25,32.678496888783684,0.7622710848578755,0.0
uav_0,22,0,0,0,0,0.0,176.05,176.05,31.906920670573864,0.7715762182098191,0.0
uav_0,23,1,0,0,0,76.93333333333332,157.15,182.55,31.122083096781967,0.7848375737918973,1.0
uav_0,24,0,1,0,0,62.79999999999999,147.5,190.25,30.343073303557283,0.7790097932246861,2.0
uav_0,25,0,0,0,1,99.0,120.94999999999999,197.95,29.56826401867433,0.7748092848829519,1.0
uav_0,26,0,0,0,1,99.50000000000001,124.85,203.35,28.785843750442822,0.7824202682315071,1.0
uav_0,27,0,0,0,0,0.0,211.25,211.25,27.957794998786724,0.8280487516560974,0.0
uav_0,28,0,0,0,0,0.0,217.25,217.25,27.120120247111373,0.8376747516753494,0.0
uav_1,0,0,1,0,0,41.06666666666666,6.699999999999999,8.7,46.106124854527806,0.5138751454721948,2.0
uav_1,1,0,0,0,0,0.0,18.6,18.6,45.587150920156525,0.5189739343712811,0.0
uav_1,2,0,0,0,0,0.0,27.8,27.8,45.053417119089055,0.5337338010674675,0.0
uav_1,3,0,1,0,0,43.86666666666667,26.799999999999997,34.05,44.50223883187559,0.5511782872134677,2.0
uav_1,4,0,0,0,0,0.0,41.8,41.8,43.94604436409653,0.5561944677790556,0.0
uav_1,5,0,0,0,1,79.5,27.549999999999997,46.05,43.373889062952216,0.5721553011443106,1.0
uav_1,6,0,1,0,0,46.133333333333326,45.6,57.1,42.788456322892465,0.5854327400597543,2.0
uav_1,7,0,0,0,0,0.0,67.45,67.45,42.19111070503111,0.5973456178613579,0.0
uav_1,8,0,0,0,0,0.0,74.2,74.2,41.58293583714809,0.6081748678830164,0.0
uav_1,9,0,0,0,0,0.0,81.65,81.65,40.96280868590784,0.6201271512402543,0.0
uav_1,10,0,1,0,0,49.06666666666666,73.60000000000001,90.60000000000001,40.32715780685876,0.6356508790490796,2.0
uav_1,11,0,0,0,0,0.0,98.9,98.9,39.679355905563156,0.6478019012956038,0.0
uav_1,12,0,1,0,0,50.93333333333333,85.19999999999999,105.69999999999999,39.021724065359,0.6576318402041524,2.0
uav_1,13,0,1,0,0,51.733333333333334,92.2,114.2,38.351417308462835,0.670306756896169,2.0
uav_1,14,0,0,0,0,0.0,119.55,119.55,37.670485923767636,0.6809313846951961,0.0
uav_1,15,0,1,0,0,53.46666666666666,104.80000000000001,130.05,36.976834636269224,0.6936512874984135,2.0
uav_1,16,0,0,1,0,33.733333333333334,106.8,138.6,36.28067337932135,0.696161256947878,1.0
uav_1,17,0,0,1,0,34.4,113.3,148.1,35.571476344569625,0.7091970347517272,1.0
uav_1,18,0,1,0,0,55.46666666666666,123.4,152.4,34.84437299867098,0.7271033458986511,2.0
uav_1,19,0,1,0,0,56.39999999999999,129.9,160.65,34.10515613885921,0.7392168598117669,2.0
uav_1,20,0,0,1,0,35.86666666666667,128.1,169.5,33.36647822627074,0.7386779125884668,1.0
uav_1,21,0,0,0,0,0.0,176.75,176.75,32.593778974725346,0.7726992515453985,0.0
uav_1,22,0,1,0,0,57.99999999999999,147.0,180.75,31.824238848186265,0.7695401265390801,2.0
uav_1,23,0,1,0,0,58.533333333333324,152.8,187.55,31.04443053273776,0.7798083154485055,2.0
uav_1,24,0,1,0,0,59.199999999999996,158.6,194.6,30.25411326449046,0.7903172682473011,2.0
uav_1,25,0,0,0,0,0.0,201.0,201.0,29.44250892953392,0.8116043349565419,0.0
uav_1,26,0,0,0,0,0.0,212.3,212.3,28.612775627874452,0.8297333016594666,0.0
uav_1,27,1,0,0,0,87.06666666666666,179.35,219.95,27.7770720317586,0.8357035961158514,1.0
uav_1,28,0,0,0,0,0.0,225.7,225.7,26.92584066338947,0.8512313683691294,0.0
uav_2,0,0,0,1,0,26.8,7.050000000000001,7.65,46.110990148981976,0.5090098510180197,1.0
