uav,step,service_0,service_1,service_2,service_3,cpu_utilization,uplink_data_rate,downlink_data_rate,battery,step_consumption,ram_usage
uav_0,0,0,0,0,0,0.0,13.55,13.55,46.109127948978255,0.510872051021744,0.0
uav_0,1,1,0,0,0,63.6,18.299999999999997,23.7,45.5671176145609,0.5420103344173539,1.0
uav_0,2,1,0,1,0,93.53333333333333,20.999999999999996,37.099999999999994,45.003162507877434,0.5639551066834657,2.0
uav_0,3,0,0,0,0,0.0,49.3,49.3,44.434935540074314,0.5682269678031205,0.0
uav_0,4,0,0,0,0,0.0,62.25,62.25,43.84593245556297,0.5890030845113395,0.0
uav_0,5,1,0,0,0,68.53333333333333,62.7,75.5,43.22526546543275,0.6206669901302229,1.0
uav_0,6,1,0,0,0,69.73333333333333,73.25,87.85,42.58586685859839,0.6393986068343527,1.0
uav_0,7,0,1,0,0,52.0,78.8,101.3,41.93657664063315,0.649290217965247,2.0
uav_0,8,0,1,0,0,53.333333333333336,90.5,115.5,41.266108083736654,0.6704685568964927,2.0
uav_0,9,0,1,0,0,54.93333333333332,98.0,126.0,40.58071786014365,0.6853902235930026,2.0
uav_0,10,0,1,0,0,55.73333333333332,108.9,138.4,39.87639581984612,0.704322040297533,2.0
uav_0,11,0,1,0,0,57.33333333333333,117.1,149.6,39.15602907951649,0.7203667403296223,2.0
uav_0,12,0,1,0,0,59.466666666666654,124.80000000000001,161.3,38.41945675026557,0.7365723292509224,2.0
uav_0,13,0,1,0,0,60.79999999999999,137.6,176.6,37.65994131541321,0.7595154348523642,2.0
uav_0,14,1,0,0,0,80.8,156.25,187.45,36.870728630501446,0.7892126849117586,1.0
uav_0,15,0,0,0,1,99.16666666666667,122.45000000000002,199.95000000000002,36.09306148450167,0.7776671459997786,1.0
uav_0,16,0,0,0,0,0.0,215.4,215.4,35.25835474949892,0.8347067350027467,0.0
uav_1,0,0,1,0,0,41.6,11.2,14.2,46.097942298955886,0.5220577010441154,2.0
uav_1,1,0,0,1,0,27.800000000000004,21.1,26.200000000000003,45.56248014788496,0.5354621510709242,1.0
uav_1,2,0,0,0,1,78.83333333333333,22.85,39.35,44.99967065787045,0.5628094900145078,1.0
uav_1,3,0,0,0,0,0.0,54.85,54.85,44.42253964004952,0.5771310178209286,0.0
uav_1,4,0,0,0,0,0.0,69.1,69.1,43.82254687218287,0.5999927678666521,0.0
uav_1,5,0,0,1,0,30.733333333333334,62.85000000000001,81.15,43.20863031539948,0.6139165567833886,1.0
uav_1,6,0,0,1,0,31.466666666666665,71.9,93.5,42.57732616969243,0.6313041457070527,1.0
uav_1,7,0,0,1,0,64.4,59.1,108.9,41.93400150173911,0.643324667953316,2.0
uav_1,8,0,0,0,1,89.33333333333333,72.0,120.0,41.26390327817669,0.6700982235624187,1.0
uav_1,9,0,0,1,0,33.86666666666667,97.94999999999999,130.35,40.581418849033945,0.6824844291427465,1.0
uav_1,10,0,1,0,0,54.79999999999999,113.80000000000001,141.55,39.870920922612946,0.7104979264209959,2.0
uav_1,11,0,0,1,0,35.66666666666667,115.5,156.0,39.15323989339981,0.7176810292131397,1.0
uav_1,12,0,0,1,0,37.0,123.4,169.9,38.41766940859533,0.7355704848044742,1.0
uav_1,13,0,0,1,0,38.13333333333333,135.6,187.2,37.65809311818729,0.7595762904080414,1.0
uav_1,14,0,0,0,1,98.66666666666666,124.65,200.65,36.87825052218316,0.7798425960041295,1.0
uav_1,15,0,0,1,0,39.06666666666667,156.75,212.55,36.081091926144396,0.7971585960387616,1.0
uav_1,16,0,0,1,0,39.666666666666664,165.55,224.05,35.26746834673937,0.8136235794050249,1.0
uav_2,0,0,0,1,0,27.666666666666668,9.85,14.35,46.103108121188434,0.5168918788115615,1.0
uav_2,1,0,0,0,0,0.0,26.5,26.5,45.57145995345847,0.5316481677299629,0.0
