uav,step,service_0,service_1,service_2,service_3,cpu_utilization,uplink_data_rate,downlink_data_rate,battery,step_consumption,ram_usage
uav_0,0,0,1,0,0,42.266666666666666,21.2,25.45,46.08069514614361,0.5393048538563875,2.0
uav_0,1,0,1,0,0,44.39999999999999,36.0,44.25,45.51379393667648,0.5669012094671357,2.0
uav_0,2,0,0,0,1,81.83333333333334,39.349999999999994,64.85,44.91638844659278,0.5974054900836998,1.0
uav_0,3,0,0,0,1,84.83333333333334,51.45,85.95,44.29144602312067,0.624942423472107,1.0
uav_0,4,0,0,0,1,88.0,65.45,109.45,43.63546707180871,0.6559789513119579,1.0
uav_0,5,0,0,0,1,90.16666666666666,76.35,126.85,42.95613319267227,0.6793338791364455,1.0
uav_0,6,0,0,0,1,94.0,87.9,149.9,42.247887957922444,0.7082452347498238,1.0
uav_0,7,0,0,0,1,96.83333333333334,102.1,172.6,41.50918805088949,0.7386999070329554,1.0
uav_0,8,0,0,0,1,99.66666666666667,117.6,196.6,40.7379478382359,0.7712402126535914,1.0
uav_1,0,0,0,0,1,76.50000000000001,12.25,21.75,46.08051549892103,0.5394845010789691,1.0
uav_1,1,0,1,0,0,44.8,33.3,42.3,45.51722369779445,0.5632918011265835,2.0
uav_1,2,0,1,0,0,46.8,54.400000000000006,67.15,44.91646900492627,0.6007546928681761,2.0
uav_1,3,0,0,1,0,65.46666666666667,38.45,93.05,44.30210164258642,0.6143673623398459,2.0
uav_1,4,0,1,0,0,50.0,91.5,110.25,43.63604784958765,0.6660537929987742,2.0
uav_1,5,0,0,1,0,34.733333333333334,94.55,130.85,42.95562825933792,0.6804195902497281,1.0
uav_1,6,0,0,0,1,93.33333333333333,88.15,148.15,42.248787385702016,0.706840873635904,1.0
uav_1,7,0,1,0,0,56.8,134.4,165.9,41.5016287342077,0.7471586514943174,2.0
uav_1,8,0,0,0,1,98.5,113.30000000000001,188.8,40.74044668268534,0.7611820515223641,1.0
uav_2,0,0,0,0,0,0.0,27.650000000000002,27.650000000000002,46.08650684893301,0.5334931510669862,0.0
uav_2,1,0,0,0,1,80.5,24.200000000000003,45.7,45.517017897794034,0.5694889511389779,1.0
uav_2,2,0,0,0,1,82.66666666666667,36.95,64.95,44.921206002157966,0.5958118956360683,1.0
uav_2,3,0,1,0,0,48.0,70.9,85.9,44.29181293423251,0.6293930679254528,2.0
uav_2,4,0,0,0,1,89.00000000000001,58.900000000000006,105.9,43.64363419960282,0.6481787346296908,1.0
uav_2,5,0,0,0,1,91.83333333333334,73.6,129.1,42.96419862602173,0.6794355735810933,1.0
uav_2,6,0,0,0,1,95.83333333333333,86.85,154.35,42.25267296904312,0.7115256569786068,1.0
uav_2,7,0,0,0,1,98.16666666666667,98.4,172.9,41.516298206459254,0.7363747625838606,1.0
uav_2,8,0,1,0,0,61.19999999999999,151.9,191.65,40.73311851322623,0.783179693233026,2.0
uav_3,0,0,1,0,0,42.13333333333333,20.1,24.1,46.082700676703176,0.5372993232968208,2.0
uav_3,1,0,0,1,0,29.000000000000004,37.7,48.2,45.515912892236265,0.5667877844669089,1.0
uav_3,2,0,0,1,0,30.066666666666663,56.05,71.35,44.91551341325769,0.6003994789785767,1.0
uav_3,3,0,0,0,1,87.00000000000001,48.05,89.05,44.290158028673645,0.625355384584044,1.0
uav_3,4,0,0,0,1,88.66666666666667,58.099999999999994,104.1,43.64416548293722,0.6459925457364296,1.0
uav_3,5,0,0,0,1,90.5,71.25,122.75,42.97211098159311,0.6720545013441088,1.0
uav_3,6,0,1,0,0,54.133333333333326,116.4,142.9,42.25864560794396,0.713465373649153,2.0
uav_3,7,0,1,0,0,55.86666666666667,133.1,162.85,41.51525793701274,0.7433876709312198,2.0
uav_3,8,1,0,0,0,79.6,151.35,180.75,40.73571238545365,0.7795455515590911,1.0
uav_4,0,1,0,0,0,61.73333333333333,18.349999999999998,20.95,46.08071862669921,0.539281373300785,1.0
uav_4,1,0,0,0,1,79.33333333333334,23.200000000000003,41.2,45.51599353668087,0.564725090018339,1.0
